,Linguagem orientada a objetos, multiplataforma, executada pela JVM.;O que é Java
,Portabilidade, segurança, robustez, escalabilidade e produtividade.;Quais são os principais objetivos do Java
,O código Java roda em qualquer sistema com JVM.;"O que significa ""Write Once Run Anywhere"""
,A Máquina Virtual Java que executa o bytecode Java.;O que é a JVM
,Gerenciar memória, threads e executar bytecode.;Qual a função principal da JVM
,Código intermediário gerado pelo compilador Java.;O que é bytecode
,Chamadas de métodos e variáveis locais.;O que fica armazenado na Stack
,Objetos criados com new.;O que fica armazenado na Heap
,Na Stack.;Onde fica uma variável de referência
,Na Heap.;Onde ficam os dados reais do objeto
,Quando não há mais referências acessíveis para ele.;Quando um objeto vira elegível ao Garbage Collector
,Mecanismo da JVM que limpa objetos não utilizados.;O que é Garbage Collector
,Impacta performance, pausas e consumo de memória.;Por que entender GC é importante para um sênior
,Memória acessada por múltiplas threads (Heap).;O que é memória compartilhada
,Conjunto de princípios para código manutenível.;O que é SOLID
,Uma classe deve ter um único motivo para mudar.;O que é SRP (Single Responsibility Principle)
,Depender de abstrações e não de implementações concretas.;O que é DIP (Dependency Inversion Principle)
,Dependência forte entre módulos.;O que é acoplamento
,Foco de responsabilidade de uma classe.;O que é coesão
,API para processar coleções de forma declarativa.;O que são Streams em Java
,Filtra elementos conforme uma condição.;O que o método filter faz
,Transforma elementos da stream.;O método map faz o quê
,Não, retornam um novo resultado.;Streams modificam a lista original
,Descrever o que deve ser feito, não como.;O que é programação declarativa
,Quando prejudicam clareza ou performance.;Quando evitar Streams
,Framework que acelera o desenvolvimento Spring.;O que é Spring Boot
,Objetos são entregues pelo framework.;O que é Injeção de Dependência
,Configuração automática baseada em dependências.;O que é Auto-configuração
,Configurações padrão que funcionam bem juntas.;"O que significa ""opinionated"""
,Possui servidor embutido (Tomcat).;Por que Spring Boot é standalone
,Conjunto de dependências prontas para uso.;O que é um starter no Spring
,Request → Controller → Service → Repository → Banco.;Qual o fluxo básico de uma API Spring
,Fluxo independente de execução.;O que é uma Thread
,Execução simultânea de múltiplas tarefas.;O que é concorrência
,Duas threads alteram o mesmo estado simultaneamente.;O que é Race Condition
,Dois saques simultâneos do mesmo saldo.;Exemplo comum de Race Condition
,Para atender múltiplas requisições simultâneas.;Por que aplicações web usam várias threads
,Controle de acesso a recursos compartilhados.;O que é sincronização
,Framework para testes unitários.;O que é JUnit
,Teste de pequena unidade de código.;O que é teste unitário
,Porque são I/O, não lógica de negócio.;Por que evitar testar Scanner ou System.out
,Framework para simular dependências.;O que é Mockito
,Objeto simulado para testes.;O que é um mock
,Evitam regressões e bugs futuros.;Por que testes aumentam senioridade
,Classe que espera conexões em uma porta.;O que é ServerSocket
,Classe que envia e recebe dados.;O que é Socket
,ServerSocket.;ServerSocket ou Socket: quem espera
,Socket.;ServerSocket ou Socket: quem conversa
,Cliente escreve → Servidor lê na mesma ordem.;Qual a ordem correta da comunicação
,Leitura fora da sequência causa erro ou bloqueio.;Por que a ordem de leitura importa
,Regras de comunicação entre cliente e servidor.;O que é protocolo
,Conexões podem falhar a qualquer momento.;Por que sempre usar try-catch em rede
,Código fácil de ler e manter.;O que é Clean Code
,Facilitam manutenção e leitura.;Por que nomes claros são importantes
,Quando fica grande ou confuso.;Quando um método deve ser dividido
,Impacto, escalabilidade e manutenção.;O que diferencia um júnior de um sênior
,Uso de Streams, Optional, lambdas e boas práticas.;O que é Java moderno
,Pensar em impacto, bugs futuros e evolução.;Qual a mentalidade sênior em Java
