O segundo cliente ficará aguardando em uma fila (backlog) até que o servidor execute o próximo accept(), ou a conexão poderá falhar por timeout.;O que acontece se um segundo cliente tentar conectar ao ServerSocket enquanto o primeiro ainda está sendo processado?
Instanciando a classe Thread e passando um objeto Runnable para o construtor, ou estendendo a própria classe Thread e sobrescrevendo o método run().;Qual a forma mais simples de criar uma nova linha de execução (Thread) em Java?
Para liberar o descritor de arquivo no sistema operacional e a porta de comunicação, permitindo que novos clientes utilizem esses recursos limitados.;Por que devemos fechar o Socket após o uso em ambientes de múltiplos acessos?
É um erro que ocorre quando duas ou mais threads tentam modificar a mesma variável simultaneamente, resultando em um valor final imprevisível.;O que é uma 'Race Condition' (Condição de Corrida)?
Ela garante que apenas uma thread por vez possa acessar um bloco de código ou método, protegendo a integridade dos dados compartilhados.;Para que serve a palavra-chave 'synchronized' em Java?
É um conjunto de threads pré-criadas que são reutilizadas para várias tarefas, evitando o custo de tempo e memória de criar e destruir threads constantemente.;O que é um 'Thread Pool' e por que ele é melhor que criar threads manualmente?
Ele abstrai a criação de threads e gerencia a fila de tarefas, permitindo controlar quantos clientes podem ser processados simultaneamente (ex: FixedThreadPool).;Como o ExecutorService facilita a gestão de múltiplos acessos?
Ele define o número máximo de conexões pendentes que o sistema operacional pode armazenar antes de começar a recusar novos clientes.;Qual o papel do parâmetro 'backlog' no construtor do ServerSocket?
Cada thread tem sua própria Stack (pilha) para variáveis locais e chamadas de métodos, enquanto o Heap é compartilhado entre todas as threads para objetos globais.;O que é o 'Thread Stack' e como ele difere do 'Heap'?
Ocorre quando duas threads ficam travadas para sempre, uma esperando por um recurso que a outra possui, paralisando parte do sistema.;O que caracteriza um 'Deadlock' em um servidor multithread?
Ele faz com que a thread atual pause sua execução e espere até que a thread alvo termine seu processamento.;Como o método join() afeta a execução de múltiplas threads?
Porque o estado ocupa memória RAM por cliente (passivação/ativação), o que escala mal se houver um volume massivo de acessos simultâneos.;Por que não devemos usar o estado 'Stateful' para gerenciar milhares de conexões TCP?
Se uma exceção não for tratada dentro da thread do cliente, ela pode matar aquela thread, mas o tratamento adequado garante que o servidor continue ouvindo novos clientes.;Como o tratamento de exceções dentro do run() protege o servidor?
É um padrão que usa uma única thread (ou poucas) para despachar eventos de entrada para diferentes manipuladores, eliminando o custo de uma thread por cliente.;O que é o padrão 'Reactor' usado em bibliotecas como Netty e Java NIO?
Pausas longas do GC (Stop-the-world) podem causar picos de latência nas conexões TCP, podendo levar ao fechamento prematuro de sockets por timeout.;Como o 'Garbage Collector' impacta servidores de alta concorrência?
É um mecanismo que 'abre o circuito' e impede novas tentativas de conexão se detectar que o serviço de destino está falhando consistentemente, protegendo o sistema de um colapso total.;O que é o padrão 'Circuit Breaker' aplicado a conexões de rede?
Ele distribui as conexões de entrada entre vários servidores físicos ou virtuais, garantindo que nenhum servidor individual fique sobrecarregado.;Como o 'Load Balancer' ajuda no gerenciamento de múltiplos acessos TCP?
Elas usam instruções de hardware (Compare-And-Swap) que são muito mais rápidas que travas de software, evitando que a thread entre em estado de espera.;Qual a vantagem de usar 'AtomicVariables' (ex: AtomicInteger) em vez de 'synchronized'?
Armazenando qualquer informação do cliente (como o carrinho de compras) em um cache externo (Redis) em vez de manter variáveis vivas na thread do Socket.;Como projetar um servidor para ser 'Stateless' e facilitar o escalonamento?
Permite criar milhões de threads leves com custo mínimo de memória, permitindo o modelo 'uma thread por cliente' sem os problemas de escalabilidade do IO bloqueante.;Como o uso de 'Virtual Threads' (Projeto Loom) revoluciona os múltiplos acessos em Java?
