O que é a JVM;"	É a máquina virtual que executa o bytecode Java e permite portabilidade."
O que fica na Stack;"	Execução de métodos e variáveis/referências locais."
O que fica no Heap;"	Objetos criados com new."
Onde fica a variável c em Cidade c = new Cidade();"	c fica na Stack."
Onde fica o objeto new Cidade();"	No Heap."
Quando um objeto vira elegível ao GC;"	Quando não há mais referência acessível apontando para ele."
O que o Garbage Collector faz;"	Remove objetos não referenciados e recupera memória do Heap."
Por que entender Heap/GC é sênior;"	Afeta performance, pausas e memória em produção."
O que é SRP;"	Uma classe deve ter um único motivo para mudar."
O que é DIP;"	Depender de abstrações (interfaces) e não de classes concretas."
O que é Stream;"	Pipeline declarativo para processar coleções."
Streams modificam a lista original;"	Não (resultado novo)."
O que é Spring Boot;"	Acelerador do Spring com auto-config e defaults."
O que é Injeção de Dependência;"	Framework fornece objetos prontos ao invés de new."
O que é Race Condition;"	Duas threads alteram o mesmo dado ao mesmo tempo."
O que é teste unitário;"	Teste isolado de uma unidade pequena de lógica."
Por que não testar Scanner/System.out;"	""Porque é I/O; unit test testa regra."""
ServerSocket serve para quê;"	Esperar conexões em uma porta."
Socket serve para quê;"	Enviar e receber dados."
